export id,app settings,dataset,dataset id,ROI Name,Channel Identifier,Raw Channel Identifier,Population Phenotypes (Raw Channel Names),Population Phenotypes (User Selected Names),Number of clusters,Count Type
0,ADSC EV_PS capture,Chip1 ON Lane1 FOV-4,d-l0pt4z19dmdk4ezap38,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0+,single positive CD63-CF568,16,binned
0,ADSC EV_PS capture,Chip1 ON Lane1 FOV-4,d-l0pt4z19dmdk4ezap38,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch1+,single positive CD81-CF647,25,binned
0,ADSC EV_PS capture,Chip1 ON Lane1 FOV-4,d-l0pt4z19dmdk4ezap38,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch2+,single positive CD9-CF488,1,binned
0,ADSC EV_PS capture,Chip1 ON Lane1 FOV-4,d-l0pt4z19dmdk4ezap38,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch1+,"double positive CD63-CF568, CD81-CF647",181,binned
0,ADSC EV_PS capture,Chip1 ON Lane1 FOV-4,d-l0pt4z19dmdk4ezap38,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch2+,"double positive CD63-CF568, CD9-CF488",11,binned
0,ADSC EV_PS capture,Chip1 ON Lane1 FOV-4,d-l0pt4z19dmdk4ezap38,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch1ch2+,"double positive CD81-CF647, CD9-CF488",6,binned
0,ADSC EV_PS capture,Chip1 ON Lane1 FOV-4,d-l0pt4z19dmdk4ezap38,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch1ch2+,"triple positive CD63-CF568, CD81-CF647, CD9-CF488",195,binned
0,ADSC EV_PS capture,Chip1 ON Lane1 FOV-4,d-l0pt4z19dmdk4ezap38,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,all negative,"all negative CD63-CF568, CD81-CF647, CD9-CF488",0,binned
1,ADSC EV_PS capture,Chip1 ON Lane1 FOV,d-fj4gkns2zc9yfluhehq,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0+,single positive CD63-CF568,2,binned
1,ADSC EV_PS capture,Chip1 ON Lane1 FOV,d-fj4gkns2zc9yfluhehq,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch1+,single positive CD81-CF647,99,binned
1,ADSC EV_PS capture,Chip1 ON Lane1 FOV,d-fj4gkns2zc9yfluhehq,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch2+,single positive CD9-CF488,0,binned
1,ADSC EV_PS capture,Chip1 ON Lane1 FOV,d-fj4gkns2zc9yfluhehq,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch1+,"double positive CD63-CF568, CD81-CF647",193,binned
1,ADSC EV_PS capture,Chip1 ON Lane1 FOV,d-fj4gkns2zc9yfluhehq,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch2+,"double positive CD63-CF568, CD9-CF488",0,binned
1,ADSC EV_PS capture,Chip1 ON Lane1 FOV,d-fj4gkns2zc9yfluhehq,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch1ch2+,"double positive CD81-CF647, CD9-CF488",4,binned
1,ADSC EV_PS capture,Chip1 ON Lane1 FOV,d-fj4gkns2zc9yfluhehq,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch1ch2+,"triple positive CD63-CF568, CD81-CF647, CD9-CF488",38,binned
1,ADSC EV_PS capture,Chip1 ON Lane1 FOV,d-fj4gkns2zc9yfluhehq,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,all negative,"all negative CD63-CF568, CD81-CF647, CD9-CF488",0,binned
2,ADSC EV_PS capture,Chip1 ON Lane1 FOV-1,d-1gkb6fw2z5pukbwkdvt,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0+,single positive CD63-CF568,2,binned
2,ADSC EV_PS capture,Chip1 ON Lane1 FOV-1,d-1gkb6fw2z5pukbwkdvt,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch1+,single positive CD81-CF647,49,binned
2,ADSC EV_PS capture,Chip1 ON Lane1 FOV-1,d-1gkb6fw2z5pukbwkdvt,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch2+,single positive CD9-CF488,3,binned
2,ADSC EV_PS capture,Chip1 ON Lane1 FOV-1,d-1gkb6fw2z5pukbwkdvt,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch1+,"double positive CD63-CF568, CD81-CF647",157,binned
2,ADSC EV_PS capture,Chip1 ON Lane1 FOV-1,d-1gkb6fw2z5pukbwkdvt,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch2+,"double positive CD63-CF568, CD9-CF488",1,binned
2,ADSC EV_PS capture,Chip1 ON Lane1 FOV-1,d-1gkb6fw2z5pukbwkdvt,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch1ch2+,"double positive CD81-CF647, CD9-CF488",13,binned
2,ADSC EV_PS capture,Chip1 ON Lane1 FOV-1,d-1gkb6fw2z5pukbwkdvt,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch1ch2+,"triple positive CD63-CF568, CD81-CF647, CD9-CF488",114,binned
2,ADSC EV_PS capture,Chip1 ON Lane1 FOV-1,d-1gkb6fw2z5pukbwkdvt,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,all negative,"all negative CD63-CF568, CD81-CF647, CD9-CF488",0,binned
3,ADSC EV_PS capture,Chip1 ON Lane1 FOV-2,d-nbi7vakwrrm25reedp8,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0+,single positive CD63-CF568,3,binned
3,ADSC EV_PS capture,Chip1 ON Lane1 FOV-2,d-nbi7vakwrrm25reedp8,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch1+,single positive CD81-CF647,45,binned
3,ADSC EV_PS capture,Chip1 ON Lane1 FOV-2,d-nbi7vakwrrm25reedp8,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch2+,single positive CD9-CF488,1,binned
3,ADSC EV_PS capture,Chip1 ON Lane1 FOV-2,d-nbi7vakwrrm25reedp8,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch1+,"double positive CD63-CF568, CD81-CF647",209,binned
3,ADSC EV_PS capture,Chip1 ON Lane1 FOV-2,d-nbi7vakwrrm25reedp8,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch2+,"double positive CD63-CF568, CD9-CF488",6,binned
3,ADSC EV_PS capture,Chip1 ON Lane1 FOV-2,d-nbi7vakwrrm25reedp8,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch1ch2+,"double positive CD81-CF647, CD9-CF488",10,binned
3,ADSC EV_PS capture,Chip1 ON Lane1 FOV-2,d-nbi7vakwrrm25reedp8,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch1ch2+,"triple positive CD63-CF568, CD81-CF647, CD9-CF488",197,binned
3,ADSC EV_PS capture,Chip1 ON Lane1 FOV-2,d-nbi7vakwrrm25reedp8,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,all negative,"all negative CD63-CF568, CD81-CF647, CD9-CF488",0,binned
4,ADSC EV_PS capture,Chip1 ON Lane1 FOV-3,d-0ilkththlhcfxaraoj9,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0+,single positive CD63-CF568,9,binned
4,ADSC EV_PS capture,Chip1 ON Lane1 FOV-3,d-0ilkththlhcfxaraoj9,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch1+,single positive CD81-CF647,28,binned
4,ADSC EV_PS capture,Chip1 ON Lane1 FOV-3,d-0ilkththlhcfxaraoj9,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch2+,single positive CD9-CF488,4,binned
4,ADSC EV_PS capture,Chip1 ON Lane1 FOV-3,d-0ilkththlhcfxaraoj9,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch1+,"double positive CD63-CF568, CD81-CF647",159,binned
4,ADSC EV_PS capture,Chip1 ON Lane1 FOV-3,d-0ilkththlhcfxaraoj9,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch2+,"double positive CD63-CF568, CD9-CF488",4,binned
4,ADSC EV_PS capture,Chip1 ON Lane1 FOV-3,d-0ilkththlhcfxaraoj9,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch1ch2+,"double positive CD81-CF647, CD9-CF488",8,binned
4,ADSC EV_PS capture,Chip1 ON Lane1 FOV-3,d-0ilkththlhcfxaraoj9,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch1ch2+,"triple positive CD63-CF568, CD81-CF647, CD9-CF488",180,binned
4,ADSC EV_PS capture,Chip1 ON Lane1 FOV-3,d-0ilkththlhcfxaraoj9,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,all negative,"all negative CD63-CF568, CD81-CF647, CD9-CF488",0,binned
